(0, - 0 . 0 0 3 3 7 8 0 5 6 6 1 6 7 6 
(0.25, - 0 . 0 0 3 3 7 8 0 5 6 6 1 6 7 6 
(0.5, - 0 . 0 0 3 3 7 8 0 5 6 6 1 6 7 6 
(0.75, - 0 . 0 0 6 7 5 6 1 1 3 2 3 3 5 3 
)(1, - 0 . 0 1 0 1 3 4 1 6 9 8 5 0 3 
)(1.25, - 0 . 0 0 6 7 5 6 1 1 3 2 3 3 5 3 
)(1.5, - 0 . 0 1 0 1 3 4 1 6 9 8 5 0 3 
)(1.75, - 0 . 0 1 6 8 9 0 2 8 3 0 8 3 8 )(
2, - 0 . 0 1 6 8 9 0 2 8 3 0 8 3 8 )(
2.25, - 0 . 0 3 0 4 0 2 5 0 9 5 5 0 9)( 
2.5, - 0 . 0 4 7 2 9 2 7 9 2 6 3 4 7 )(
2.75, - 0 . 0 6 0 8 0 5 0 1 9 1 0 1 7 )(
3, - 0 . 0 5 7 4 2 6 9 6 2 4 8 5 )(
3.25, - 0 . 0 4 7 2 9 2 7 9 2 6 3 4 7)( 
3.5, - 0 . 0 4 7 2 9 2 7 9 2 6 3 4 7 )(
3.75, - 0 . 0 4 7 2 9 2 7 9 2 6 3 4 7 )(
4, - 0 . 0 5 0 6 7 0 8 4 9 2 5 1 4 )(
4.25, - 0 . 0 6 0 8 0 5 0 1 9 1 0 1 7)(
4.5, - 0 . 0 6 4 1 8 3 0 7 5 7 1 8 5 )(
4.75, - 0 . 0 7 0 9 3 9 1 8 8 9 5 2 )(
5, - 0 . 0 7 7 6 9 5 3 0 2 1 8 5 6 )(
5.25, - 0 . 0 7 4 3 1 7 2 4 5 5 6 8 8)( 
5.5, - 0 . 0 7 7 6 9 5 3 0 2 1 8 5 6 )(
5.75, - 0 . 0 7 4 3 1 7 2 4 5 5 6 8 8 )(
6, - 0 . 0 7 4 3 1 7 2 4 5 5 6 8 8 )(
6.25, - 0 . 0 8 4 4 5 1 4 1 5 4 1 9 1)( 
6.5, - 0 . 0 9 4 5 8 5 5 8 5 2 6 9 4 )(
6.75, - 0 . 1 0 1 3 4 1 6 9 8 5 0 3 )(
7, - 0 . 1 0 1 3 4 1 6 9 8 5 0 3 )(
7.25, - 0 . 1 0 4 7 1 9 7 5 5 1 2 )(
7.5, - 0 . 1 1 1 4 7 5 8 6 8 3 5 3 )(
7.75, - 0 . 1 1 8 2 3 1 9 8 1 5 8 7 )(
8, - 0 . 1 2 1 6 1 0 0 3 8 2 0 3 )(
8.25, - 0 . 1 1 4 8 5 3 9 2 4 9 7 )(
8.5, - 0 . 1 1 4 8 5 3 9 2 4 9 7 )(
8.75, - 0 . 1 1 4 8 5 3 9 2 4 9 7 )(
9, - 0 . 1 2 8 3 6 6 1 5 1 4 3 7 )(
9.25, - 0 . 1 3 5 1 2 2 2 6 4 6 7 1)( 
9.5, - 0 . 1 4 5 2 5 6 4 3 4 5 2 1 )(
9.75, - 0 . 1 5 2 0 1 2 5 4 7 7 5 4 )(
10, - 0 . 1 6 2 1 4 6 7 1 7 6 0 5 )(
10.25, - 0 . 1 7 2 2 8 0 8 8 7 4 5 5)( 
10.5, - 0 . 1 7 2 2 8 0 8 8 7 4 5 5 )(
10.75, - 0 . 1 6 5 5 2 4 7 7 4 2 2 1 )(
11, - 0 . 1 7 2 2 8 0 8 8 7 4 5 5 )(
11.25, - 0 . 1 7 9 0 3 7 0 0 0 6 8 8)( 
11.5, - 0 . 1 8 2 4 1 5 0 5 7 3 0 5 )(
11.75, - 0 . 1 8 2 4 1 5 0 5 7 3 0 5 )(
12, - 0 . 1 8 9 1 7 1 1 7 0 5 3 9 )(
12.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
12.5, - 0 . 1 8 9 1 7 1 1 7 0 5 3 9 )(
12.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
13, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
13.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
13.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
13.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
14, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
14.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
14.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
14.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
15, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
15.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
15.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
15.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
16, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
16.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
16.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
16.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
17, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
17.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
17.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
17.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
18, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
18.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
18.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
18.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
19, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
19.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
